"","sampleid","masterid","sampledate","year","fieldreplicate","csci","latitude","longitude","county","COMID","geometry","Max_Wkly_Mean_StreamT","Max_Wkl_Max_StreamT","Min_Wkl_Min_StreamT","Max_Wkl_Rng_StreamT","Mean_Wkl_Rng_StreamT","Max_Wkl_Max_StreamT_grt_30_"
"31","SGUT502_06182012_BMI_RWB_1","SGUT502","2012-06-18 00:00:00",2012,1,0.97438595,34.2283,-117.76593,"Los Angeles",22522881,c(-117.76593, 34.2283),23.5146491157745,27.6818702404165,10.0431747232169,16.1201952595211,10.4369609624885,0
"32","SGUT502_06282011_BMI_RWB_1","SGUT502","2011-06-28 00:00:00",2011,1,0.89398808,34.2283,-117.76593,"Los Angeles",22522881,c(-117.76593, 34.2283),22.4027813949743,26.9416735748435,9.11810388315226,13.8951933933113,10.6150464973448,0
"33","SGUT502_07012013_BMI_RWB_1","SGUT502","2013-07-01 00:00:00",2013,1,1.00861478,34.2283,-117.76593,"Los Angeles",22522881,c(-117.76593, 34.2283),23.0391719405049,28.8607044334176,10.2027877593674,16.1957663872532,10.6383557003834,0
"34","SGUT502_07012014_BMI_RWB_1","SGUT502","2014-07-01 00:00:00",2014,1,0.78950125,34.2283,-117.76593,"Los Angeles",22522881,c(-117.76593, 34.2283),22.2803554885361,26.9281388735456,11.0332839814368,15.048594780079,10.5109318656209,0
"35","SGUT503_05272010_BMI_RWB_1","SGUT503","2010-05-27 00:00:00",2010,1,0.8744414,34.29216,-117.83856,"Los Angeles",22522647,c(-117.83856, 34.29216),21.8349981178671,24.9188566102335,9.65920328590496,12.7574816644469,8.37651878497095,0
"36","SGUT503_06132012_BMI_RWB_1","SGUT503","2012-06-13 00:00:00",2012,1,1.00763986,34.29216,-117.83856,"Los Angeles",22522647,c(-117.83856, 34.29216),23.2560188759562,25.1160337346778,9.38575097604263,14.2055229097045,8.1202301912001,0
"37","SGUT503_07012014_BMI_RWB_1","SGUT503","2014-07-01 00:00:00",2014,1,0.92038068,34.29216,-117.83856,"Los Angeles",22522647,c(-117.83856, 34.29216),21.647934470121,23.9714108715258,10.1607896766213,12.720703163813,8.18903292182047,0
"38","SGUT503_07082013_BMI_RWB_1","SGUT503","2013-07-08 00:00:00",2013,1,0.98718015,34.29216,-117.83856,"Los Angeles",22522647,c(-117.83856, 34.29216),22.9493883905131,26.0002176469005,9.25870123285011,13.8135260144365,8.26635580751648,0
"39","SGUT503_07272011_BMI_RWB_1","SGUT503","2011-07-27 00:00:00",2011,1,0.88687075,34.29216,-117.83856,"Los Angeles",22522647,c(-117.83856, 34.29216),22.119977583214,24.161878912793,8.18082096883694,11.8967578911395,8.29861609552442,0
"40","SGUT504_06192012_BMI_RWB_1","SGUT504","2012-06-19 00:00:00",2012,1,0.98498678,34.2377,-117.8203,"Los Angeles",22522843,c(-117.8203, 34.2377),25.8280826919338,28.8133458942415,11.9630449426722,15.3913999935794,9.75666657847753,0
